description,category
"Paid ₹184.50 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹179.59 to Zomato using Bank Account",Food
"Paid ₹186.96 to Swiggy using Bank Account",Food
"Paid ₹830.00 to Starbucks using Bank Account",Food
"Paid ₹245.00 to MAHESHA using Bank Account",Food
"Paid ₹418.50 to Zomato Ltd using Bank Account",Food
"Paid ₹311.05 to Zomato using Bank Account",Food
"Paid ₹213.35 to Zomato using Bank Account",Food
"Paid ₹231.25 to Zomato Ltd using Bank Account",Food
"Paid ₹289.10 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹193.17 to Zomato using Bank Account",Food
"Paid ₹186.05 to Zomato using Bank Account",Food
"Paid ₹193.17 to Zomato Ltd using Bank Account",Food
"Paid ₹413.80 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹1.00 to Zomato Ltd using Bank Account",Food
"Paid ₹311.05 to Zomato Ltd using Bank Account",Food
"Paid ₹338.50 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹144.69 to Zomato using Bank Account",Food
"Paid ₹155.38 to Zomato Ltd using Bank Account",Food
"Paid ₹184.00 to Zomato Ltd using Bank Account",Food
"Paid ₹177.64 to Zomato Ltd using Bank Account",Food
"Paid ₹181.80 to Zomato using Bank Account",Food
"Paid ₹200.80 to Zomato using Bank Account",Food
"Paid ₹226.00 to Zomato Ltd using Bank Account",Food
"Paid ₹173.50 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹240.00 to Manjunath using Bank Account",Food
"Paid ₹611.88 to Zomato Ltd using Bank Account",Food
"Paid ₹193.59 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹395.05 to Zomato Ltd using Bank Account",Food
"Paid ₹302.30 to Zomato Ltd using Bank Account",Food
"Paid ₹287.82 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹281.13 to ZOMATO LIMITED using Bank Account",Food
"Paid ₹371.95 to Zomato Ltd using Bank Account",Food
"Paid ₹258.25 to Zomato Ltd using Bank Account",Food
"Paid ₹242.80 to Zomato using Bank Account",Food
"Paid ₹394.00 to Zomato Ltd using Bank Account",Food
"Paid ₹100.00 to Swiggy using Bank Account",Food
"Paid ₹180.00 to Swiggy using Bank Account",Food
"Paid ₹100.00 to Swiggy Ltd using Bank Account",Food
"Paid ₹600.00 to Swiggy Ltd using Bank Account",Food
"Paid ₹610.10 to HMSHOST SERVICES INDIA PRIVATE LIMITED using Bank Account",Outing
"Paid ₹539.70 to HMSHOST SERVICES INDIA PRIVATE LIMITED using Bank Account",Outing
"Paid ₹656.00 to ELEVEN BAKE HOUSE using Bank Account",Outing
"Paid ₹80.00 to RAMJAN ALI using Bank Account",PeerPayment
"KFC standalone restaurant",Outing
"McDonald's restaurant",Outing
"Burger King",Outing
"Pizza Hut restaurant",Outing
"Domino's Pizza",Outing
"Subway restaurant",Outing
"Starbucks cafe",Outing
"Cafe Coffee Day",Outing
"Tim Hortons",Outing
"Costa Coffee",Outing
"Haldiram's",Outing
"Biryani Blues",Outing
"Faasos",Outing
"Behrouz Biryani",Outing
"Oven Story",Outing
"The Good Bowl",Outing
"Sweet Truth",Outing
"Firangi Bake",Outing
"Lunch Box",Outing
"Mandarin Oak",Outing
"Paid ₹50.40 to SHIV SAGAR NEXUS MALL using Bank Account",Outing
